Education_Sector,School_Name,School_Type,Address_Line_1,Address_Town,Address_Postcode,Full_Phone_No,longitude,latitude
Government,Romsey Primary School,Primary,2-56 Station Street,Romsey,3434,03 5429 5099,144.7453792,-37.35417523
Government,Shelford Primary School,Primary,1717 Shelford-Bannockburn Road,Shelford,3329,03 5281 3291,143.9821391,-38.0139946
Government,Lockwood South Primary School,Primary,710 Calder Alternative Highway,Lockwood South,3551,03 5435 3293,144.156966,-36.841657
Government,Marong Primary School,Primary,2 Leslie Street,Marong,3515,03 5435 2288,144.136339,-36.735549
Government,Mount Macedon Primary School,Primary,641 Mount Macedon Road,Mount Macedon,3441,03 5426 1446,144.5841275,-37.40479379
Government,Mount Clear Primary School,Primary,1206 Geelong Road,Mount Clear,3350,03 5330 1844,143.8681827,-37.60439201
Government,Melton Primary School,Primary,Unitt Street,Melton,3337,03 9743 5335,144.58647,-37.681081
Government,Fitzroy Primary School,Primary,319 George Street,Fitzroy,3065,03 9417 4222,144.981511,-37.799603
Government,Newstead Primary School,Primary,28 Lyons Street,Newstead,3462,03 5476 2226,144.06719,-37.105917
Government,Newlyn Primary School,Primary,2701 Midland Highway,Newlyn,3364,03 5345 7222,143.9844266,-37.41202483
Government,Burwood East Primary School,Primary,Cnr Blackburn And Highbury Rds,Burwood East,3151,03 9802 8618,145.152209,-37.859779
Government,New Gisborne Primary School,Primary,239 Station Road,New Gisborne,3438,03 5428 2232,144.596579,-37.46288785
Government,Beeac Primary School,Primary,35 Lang Street,Beeac,3251,03 5234 6463,143.644279,-38.193973
Government,Essendon Primary School,Primary,38 Raleigh Street,Essendon,3040,03 9370 7816,144.921042,-37.753095
Government,Coburg Primary School,Primary,92 Bell Street,Coburg,3058,03 9354 9332,144.968026,-37.741184
Government,Penshurst Primary School,Primary,87 Ritchie Street,Penshurst,3289,03 5576 5433,142.291326,-37.879184
Government,Myrniong Primary School,Primary,13 Muddy Lane,Myrniong,3341,03 5368 7232,144.3463198,-37.61971733
Government,Mernda Primary School,Primary,25 Everton Drive,Mernda,3754,03 9717 7900,145.0922429,-37.59459504
Government,Portland Primary School,Primary,45 Palmer Street,Portland,3305,03 5523 1911,141.599408,-38.347295
