Education_Sector,School_Name,School_Type,Address_Line_1,Address_Town,Address_Postcode,Full_Phone_No,longitude,latitude
Government,Surrey Hills Primary School,Primary,2 Beatrice Avenue,Surrey Hills,3127,03 9890 1560,145.100903,-37.825534
Government,Montague Continuing Education Centre,Special,100 Montague Street,South Melbourne,3205,03 9690 3535,144.949738,-37.830602
Government,Strathmerton Primary School,Primary,Findlay Street,Strathmerton,3641,03 5874 5295,145.478843,-35.92402
Government,Laharum Primary School,Primary,1574 Northern Grampians Road,Laharum,3401,03 5383 6202,142.323314,-36.945346
Government,Walwa Primary School,Primary,Murray River Road,Walwa,3709,02 6037 1380,147.732148,-35.964228
Government,Middle Park Primary School,Primary,194 Richardson Street,Middle Park,3206,03 9690 1336,144.957512,-37.847803
Government,Seville Primary School,Primary,639 Warburton Highway,Seville,3139,03 5964 4557,145.4644066,-37.77389139
Government,Yarraville West Primary School,Primary,30 Powell Street,Yarraville,3013,03 9314 3816,144.885386,-37.814751
Government,Moreland Primary School,Primary,157-163 Moreland Road,Coburg,3058,03 9386 2510,144.966478,-37.755046
Government,Tanjil South Primary School,Primary,253 Moe-Willow Grove Road,Tanjil South,3825,03 5160 1255,146.252395,-38.118867
Government,Pomonal Primary School,Primary,2859 Ararat Pomonal Road,Pomonal,3381,03 5356 6292,142.608733,-37.193443
Government,Elsternwick Primary School,Primary,Murphy Street,Brighton,3186,03 8534 6100,144.997293,-37.891416
Government,Glengarry Primary School,Primary,Cairnbrook Road,Glengarry,3854,03 5192 4292,146.571338,-38.127576
Government,Carnegie Primary School,Primary,51 Truganini Road,Carnegie,3163,03 9571 2662,145.054855,-37.890848
Government,Lang Lang Primary School,Primary,52 Westernport Road,Lang Lang,3984,03 5997 5322,145.569879,-38.263013
Government,Croydon Primary School,Primary,Cnr Kent Avenue & Croydon Road,Croydon,3136,03 9723 2472,145.281321,-37.793171
Government,Moonee Ponds West Primary School,Primary,150 Athol Street,Moonee Ponds,3039,03 9370 6875,144.909568,-37.768284
Government,Mitcham Primary School,Primary,294 Mitcham Road,Mitcham,3132,03 9873 1551,145.192524,-37.808462
Government,Loch Primary School,Primary,2 Victoria Road,Loch,3945,03 5659 4254,145.70295,-38.368623
Government,Mildura Primary School,Primary,175-189 San Mateo Avenue,Mildura,3500,03 5023 1851,142.160493,-34.194287
Government,Blackburn Primary School,Primary,185 Surrey Road,Blackburn,3130,03 9878 1483,145.157671,-37.817543
Government,Newmerella Primary School,Primary,2-4 McLaughlins Road,Newmerella,3886,03 5154 1620,148.433995,-37.735473
Government,Port Melbourne Primary School,Primary,415 Graham Street,Port Melbourne,3207,03 9646 1001,144.933812,-37.835322
Government,Auburn Primary School,Primary,51 Rathmines Road,Hawthorn East,3123,03 9882 7035,145.050554,-37.820256
Government,Mentone Primary School,Primary,6 Childers Street,Mentone,3194,03 9583 2995,145.067971,-37.982948
Government,Princes Hill Primary School,Primary,280 Pigdon Street,Carlton North,3054,03 9389 5300,144.9681013,-37.78039994
Government,Gruyere Primary School,Primary,99 Killara Road,Gruyere,3770,03 5964 9260,145.4503894,-37.73408606
Government,Research Primary School,Primary,1570 Main Road,Research,3095,03 9437 1917,145.1835697,-37.70291933
Government,Pearcedale Primary School,Primary,Baxter-tooradin Road,Pearcedale,3912,03 5978 6250,145.231975,-38.203012
Government,Lindenow South Primary School,Primary,607 Lindenow-Glenaladale Road,Lindenow South,3875,03 5157 1397,147.433901,-37.826941
Government,Thorpdale Primary School,Primary,19 Robinson Street,Thorpdale,3835,03 5634 6325,146.178792,-38.288457
Government,St Albans Primary School,Primary,39 West Esplanade,St Albans,3021,03 9366 2832,144.795769,-37.738748
Government,Leongatha Primary School,Primary,Nerrena Road,Leongatha,3953,03 5667 4600,145.9589823,-38.47892754
Government,Jeparit Primary School,Primary,Sands Avenue,Jeparit,3423,03 5397 2033,141.984051,-36.141338
Government,Toorak Primary School,Primary,Canterbury Road,Toorak,3142,03 9827 2959,145.009909,-37.845076
Government,Baxter Primary School,Primary,Grant Road,Baxter,3911,03 5971 1391,145.181425,-38.199333
Government,Fish Creek and District Primary School,Primary,10 Foster Road,Fish Creek,3959,03 5683 2271,146.084419,-38.694749
Government,Beaconsfield Primary School,Primary,71-77 Old Princes Highway,Beaconsfield,3807,03 9707 1510,145.3716379,-38.04862904
Government,Metung Primary School,Primary,Stirling Road,Metung,3904,03 5156 2259,147.852464,-37.882955
Government,Newhaven Primary School,Primary,12-22 School Avenue,Newhaven,3925,03 5956 7326,145.356858,-38.513155
Government,Halls Gap Primary School,Primary,10-14 School Road,Halls Gap,3381,03 5356 4235,142.51743,-37.137482
Government,Tallygaroopna Primary School,Primary,24-34 Victoria Street,Tallygaroopna,3634,03 5829 8264,145.436316,-36.238614
Government,Ormond Primary School,Primary,Cnr Murray & Wheatley Roads,Ormond,3204,03 9578 1327,145.033669,-37.907001
Government,Korumburra Primary School,Primary,6 - 16 Mine Road,Korumburra,3950,03 5655 1309,145.825636,-38.435133
Government,Crib Point Primary School,Primary,70 Milne Street,Crib Point,3919,03 5983 9282,145.200539,-38.360484
Government,Pascoe Vale Primary School,Primary,362 Gaffney Street,Pascoe Vale,3044,03 9354 1611,144.93763,-37.731221
Government,Flowerdale Primary School,Primary,3377 Whittlesea Yea Road,Flowerdale,3717,03 5780 1264,145.291361,-37.316923
Government,Ocean Grove Primary School,Primary,1 - 23 Draper Street,Ocean Grove,3226,03 5255 1340,144.521852,-38.263993
Government,Beulah Primary School,Primary,Henty Highway,Beulah,3395,03 5390 2332,142.418256,-35.944942
Government,Merri Creek Primary School,Primary,Miller Street,Fitzroy North,3068,03 9481 0177,144.987386,-37.776966
Government,Sunshine Primary School,Primary,Cnr Hampshire & Derby Roads,Sunshine,3020,03 8311 5700,144.831101,-37.790881
Government,Tyabb Primary School,Primary,186 Mornington-Tyabb Road,Tyabb,3913,03 5977 4584,145.166617,-38.260794
Government,Wales Street Primary School,Primary,Wales Street,Thornbury,3071,03 9484 3949,145.008833,-37.76151
Government,Upper Sandy Creek Primary School,Primary,1037 Sandy Creek Road,Sandy Creek,3695,02 6071 8526,147.112896,-36.355178
Government,Spensley Street Primary School,Primary,193 Spensley Street,Clifton Hill,3068,03 9481 4666,145.003879,-37.786794
Government,Kew East Primary School,Primary,35 Kitchener Street,Kew East,3102,03 9859 2903,145.049151,-37.796473
Government,Nichols Point Primary School,Primary,110 Koorlong Avenue,Nichols Point,3501,03 5023 1633,142.204635,-34.2088
Government,Irymple Primary School,Primary,2032 15th Street,Irymple,3498,03 5024 5334,142.15908,-34.226605
Government,Brunswick East Primary School,Primary,195a Stewart Street,Brunswick East,3057,03 9387 3361,144.979403,-37.765104
Government,Eagle Point Primary School,Primary,43 School Road,Eagle Point,3878,03 5156 6382,147.680216,-37.892449
Government,Yarra Junction Primary School,Primary,2370 Warburton Highway,Yarra Junction,3797,03 5967 1544,145.6060798,-37.779029
Government,Sassafras Primary School,Primary,399 Mt Dandenong Tourist Road,Sassafras,3787,03 9755 1203,145.3552887,-37.86083457
Government,Ferny Creek Primary School,Primary,School Road,Ferny Creek,3786,03 9755 1522,145.3347256,-37.8842124
Government,Toolangi Primary School,Primary,Main Road,Toolangi,3777,03 5962 9255,145.472501,-37.535374
Government,Wonga Park Primary School,Primary,Dudley Road,Wonga Park,3115,03 9722 1325,145.273999,-37.730641
Government,Kinglake West Primary School,Primary,1041-1061 Whittlesea-Kinglake Rd,Kinglake West,3757,03 5786 5262,145.259597,-37.481303
Government,Perseverance Primary School,Primary,Centreway,French Island,3921,03 5980 1292,145.3334052,-38.38337735
Government,Monbulk Primary School,Primary,1 Main Road,Monbulk,3793,03 9756 6481,145.4102612,-37.87685153
Government,Lake Boga Primary School,Primary,8 Williams Street,Lake Boga,3584,03 5036 9000,143.63207,-35.464511
Government,Chum Creek Primary School,Primary,705 Chum Creek Road,Chum Creek,3777,03 5962 5391,145.4892499,-37.60595782
Government,Mount Dandenong Primary School,Primary,Farndons Road,Mount Dandenong,3767,03 9751 1136,145.362166,-37.83074276
Government,Nullawil Primary School,Primary,Church Street,Nullawil,3529,03 5493 5260,143.179119,-35.852732
Government,Badger Creek Primary School,Primary,Badger Creek Rd,Healesville,3777,03 5962 4019,145.5327681,-37.68005402
Government,Middle Kinglake Primary School,Primary,1 Extons Road,Kinglake Central,3757,03 5786 1295,145.315679,-37.505206
Government,Point Lonsdale Primary School,Primary,22 Bowen Road,Point Lonsdale,3225,03 5258 1501,144.621455,-38.274154
Government,Kongwak Primary School,Primary,1445 Wonthaggi Korumburra Road,Kongwak,3951,03 5657 4224,145.712865,-38.515106
Government,Clarinda Primary School,Primary,1166 Centre Road,Clarinda,3169,03 9544 3231,145.102506,-37.926973
Government,Chelsea Heights Primary School,Primary,194 Thames Promenade,Chelsea Heights,3196,03 9772 4139,145.138991,-38.044683
Government,Wallington Primary School,Primary,608 - 610 Wallington Road,Wallington,3222,03 5250 1841,144.506509,-38.2178
Government,Tecoma Primary School,Primary,1536 Burwood Highway,Tecoma,3160,03 9754 2354,145.3449218,-37.90695837
Government,Torquay P-6 College,Primary,45-55 Grossmans Road,Torquay,3228,03 5261 2360,144.3123081,-38.32176711
Government,Noorinbee Primary School,Primary,594 Monaro Highway,Noorinbee,3890,03 5158 6281,149.16894,-37.516355
Government,Woomelang Group School,Primary,4 Roberts Street,Woomelang,3485,03 5081 2191,142.667723,-35.681377
Government,Emerald Primary School,Primary,10 Heroes Avenue,Emerald,3782,03 5968 4311,145.4424276,-37.93338297
Government,Carrum Primary School,Primary,Walkers Road,Carrum,3197,03 9772 1117,145.126499,-38.078092
Government,Nyora Primary School,Primary,Grundy Avenue,Nyora,3987,03 5659 6240,145.674891,-38.336244
Government,Exford Primary School,Primary,1137 Exford Road,Exford,3338,03 9743 5025,144.558791,-37.745287
Government,Ultima Primary School,Primary,Cnr Cameron & O'Connor Street,Ultima,3544,03 5039 6101,143.266171,-35.476233
Government,Mount Waverley Primary School,Primary,37-45 Park Lane,Mount Waverley,3149,03 9807 1480,145.124091,-37.880907
Government,Marlo Primary School,Primary,Jorgensen Street,Marlo,3888,03 5154 8236,148.535038,-37.796269
Government,Murrumbeena Primary School,Primary,Hobart Road,Murrumbeena,3163,03 9568 1300,145.070409,-37.88617
Government,Wesburn Primary School,Primary,2850 Warburton Highway,Wesburn,3799,03 5967 1302,145.6470677,-37.76869153
Government,Koorlong Primary School,Primary,3645 Benetook Ave,Koorlong,3501,03 5025 7205,142.08485,-34.278056
Government,Warranwood Primary School,Primary,1 Wellington Park Drive,Warranwood,3134,03 9876 6066,145.246981,-37.774347
Government,Willowmavin Primary School,Primary,690 Willowmavin Road,Willowmavin,3764,03 5782 1319,144.888229,-37.259424
Government,Olinda Primary School,Primary,45 Charlemont Lane,Olinda,3788,03 9751 1181,145.3661919,-37.85469614
Government,Carlisle River Primary School,Primary,49 Moomowroong Road,Carlisle River,3239,03 5235 0261,143.395026,-38.563929
Government,Spring Gully Primary School,Primary,104-110 Spring Gully Road,Bendigo,3550,03 5443 7230,144.284363,-36.793403
Government,Mallacoota P-12 College,Pri/Sec,25 Bucknall Street,Mallacoota,3892,03 5158 0254,149.754296,-37.559427
Government,Langwarrin Primary School,Primary,90 Warrandyte Road,Langwarrin,3910,03 9789 7346,145.189632,-38.160372
Government,Cockatoo Primary School,Primary,19-33 Belgrave-Gembrook Road,Cockatoo,3781,03 5968 8017,145.4962066,-37.93929904
Government,Tyabb Railway Station Primary School,Primary,88 The Crescent,Tyabb,3913,03 5977 4324,145.192835,-38.262148
Government,Belgrave South Primary School,Primary,175 Colby Drive,Belgrave South,3160,03 9754 2505,145.3579203,-37.93119813
Government,Yarra Me School,Special,1 Sylvester Grove,Preston,3072,03 9478 8895,145.0242041,-37.67973726
Government,Sydenham - Hillside Primary School,Primary,39-49 Community Hub,Sydenham,3037,03 9361 5300,144.7620961,-37.70218173
Government,Canterbury Primary School,Primary,Molesworth Street,Canterbury,3126,03 9836 4537,145.083713,-37.83105953
Government,The Lake Primary School,Primary,225 Seventeenth Street,Cabarita,3505,03 5023 3468,142.093145,-34.205917
Government,Grey Street Primary School (Traralgon),Primary,30 - 44 Grey Street,Traralgon,3844,03 5174 2055,146.537121,-38.193048
Government,Brunswick North Primary School,Primary,Pearson Street,Brunswick West,3055,03 9383 1400,144.950631,-37.759858
Government,Fawkner Primary School,Primary,Lorne Street,Fawkner,3060,03 9357 3579,144.973528,-37.715887
Government,Alphington Primary School,Primary,Yarralea Street,Alphington,3078,03 9499 2200,145.032006,-37.783523
Government,Austin Hospital School,Special,145 Studley Road,Heidelberg,3084,03 9496 5324,145.058287,-37.755435
Government,Bona Vista Primary School,Primary,520 Bona Vista Road,Bona Vista,3820,03 5627 8435,145.95991,-38.210521
Government,Banyan Fields Primary School,Primary,90 Cadles Road,Carrum Downs,3201,03 9782 1333,145.187192,-38.094766
Government,Norris Bank Primary School,Primary,146 Settlement Road,Bundoora,3083,03 9467 2206,145.0426341,-37.6945118
Government,Macclesfield Primary School,Primary,405 Macclesfield Road,Macclesfield,3782,03 5968 4734,145.4753695,-37.88979216
Government,Black Rock Primary School,Primary,71 Arkaringa Crescent,Black Rock,3193,03 9598 2293,145.021651,-37.969869
Government,Mount Evelyn Primary School,Primary,33 Monbulk Road,Mount Evelyn,3796,03 9736 2233,145.3888224,-37.79092979
Government,Kilsyth Primary School,Primary,Durham Road,Kilsyth,3137,03 9725 4320,145.3149427,-37.80210649
Government,Wonthaggi Primary School,Primary,18 Billson Street,Wonthaggi,3995,03 5672 1600,145.588636,-38.607947
Government,Spotswood Primary School,Primary,Melbourne Road,Spotswood,3015,03 9391 1323,144.881921,-37.830627
Government,Clyde Primary School,Primary,13 Oroya Grove,Clyde,3978,03 5998 5293,145.326386,-38.132323
Government,Noble Park Primary School,Primary,65 Buckley Street,Noble Park,3174,03 9546 8811,145.173906,-37.970627
Government,Deepdene Primary School,Primary,958a Burke Road,Deepdene,3103,03 9817 1917,145.061285,-37.808475
Government,Clifton Creek Primary School,Primary,1020 Deptford Road,Clifton Creek,3875,03 5157 9251,147.659395,-37.70208
Government,Kennington Primary School,Primary,60 Crook Street,Kennington,3550,03 5443 2011,144.307972,-36.768376
Government,Cardinia Primary School,Primary,2405 Ballarto Road,Cardinia,3978,03 5998 8323,145.423852,-38.14572553
Government,Grahamvale Primary School,Primary,85 Grahamvale Road,Grahamvale,3631,03 5821 4219,145.430716,-36.357202
Government,Irymple South Primary School,Primary,3208 Fifteenth Street,Irymple,3498,03 5024 5345,142.190619,-34.252489
Government,Glen Huntly Primary School,Primary,Grange Road,Glen Huntly,3163,03 9571 2933,145.0462294,-37.89377084
Government,Nanneella Estate Primary School,Primary,159 Bennett Road,Nanneella,3561,03 5484 5395,144.778037,-36.312971
Government,Wantirna Primary School,Primary,120 Mountain Highway,Wantirna,3152,03 9801 1938,145.21662,-37.856064
Government,Wonthaggi North Primary School,Primary,Cnr White & Wentworth Road,Wonthaggi,3995,03 5672 4697,145.600234,-38.59882
Government,Melton South Primary School,Primary,38 - 46 Exford Road,Melton South,3338,03 9743 2922,144.574217,-37.708427
Government,Chelsea Primary School,Primary,34-44 Argyle Ave,Chelsea,3196,03 9773 2055,145.122642,-38.0555
Government,Nowa Nowa Primary School,Primary,Gorge Road,Nowa Nowa,3887,03 5155 7225,148.092546,-37.72662
Government,Hampton Primary School,Primary,528 Hampton Street,Hampton,3188,03 9598 1412,145.003476,-37.93339
Government,Victorian College For The Deaf,Special,597 St Kilda Road,Melbourne,3004,03 9510 1706,144.982306,-37.849774
Government,Balliang East Primary School,Primary,4 School Road,Balliang East,3340,03 5369 5148,144.4153538,-37.79497592
Government,Edithvale Primary School,Primary,Edithvale Road,Edithvale,3196,03 9772 1393,145.11297,-38.037494
Government,Orrvale Primary School,Primary,300 Channel Road,Orrvale,3631,03 5829 2490,145.440539,-36.410409
Government,Penders Grove Primary School,Primary,370 Victoria Road,Thornbury,3071,03 9484 1076,145.01427,-37.754517
Government,Underbool Primary School,Primary,67 Cotter Street,Underbool,3509,03 5094 6342,141.814054,-35.170573
Government,Caulfield Junior College,Primary,186 Balaclava Road,Caulfield North,3161,03 9509 6872,145.021561,-37.87211
Government,Seaford Primary School,Primary,Mcrae Street,Seaford,3198,03 9786 1357,145.130496,-38.104436
Government,Wattle Park Primary School,Primary,225 Warrigal Road,Burwood,3125,03 9808 2165,145.098115,-37.843404
Government,Murrabit Group School,Primary,61 Browning Avenue,Murrabit,3579,03 5457 2284,143.950749,-35.528838
Government,Preston West Primary School,Primary,383 Murray Road,Preston,3072,03 9470 1546,144.99553,-37.737366
Government,Thornbury Primary School,Primary,16-22 Hutton Street,Thornbury,3071,03 9484 3254,144.996748,-37.755425
Government,Footscray West Primary School,Primary,Argyle Street,West Footscray,3012,03 9687 1535,144.875221,-37.794938
Government,Wandin North Primary School,Primary,220 Warburton Highway,Wandin North,3139,03 5964 4570,145.4089739,-37.76955183
Government,Gardenvale Primary School,Primary,66 Landcox Street,Brighton East,3187,03 9596 2871,145.015034,-37.904679
Government,Beaumaris Primary School,Primary,79-99 Dalgetty Road,Beaumaris,3193,03 9589 2619,145.037586,-37.985272
Government,Currawa Primary School,Primary,2 Ridge Road,Dookie Campus,3647,03 5828 6581,145.7037867,-36.38474876
Government,Cann River P-12 College,Pri/Sec,20-24 Tamboon Road,Cann River,3890,03 5158 6245,149.153022,-37.5697
Government,Altona Primary School,Primary,109 Blyth Street,Altona,3018,03 9398 2925,144.822742,-37.867708
Government,Devon Meadows Primary School,Primary,Worthing Road,Devon Meadows,3977,03 5998 2304,145.301456,-38.162318
Government,Upper Ferntree Gully Primary School,Primary,Talaskia Road,Upper Ferntree Gully,3156,03 9758 1527,145.314325,-37.895604
Government,Eildon Primary School,Primary,45 High Street,Eildon,3713,03 5774 2074,145.906761,-37.233967
Government,Bittern Primary School,Primary,Portsmouth Road,Bittern,3918,03 5983 9590,145.171678,-38.339857
Government,Colbinabbin Primary School,Primary,56 Mitchell Street,Colbinabbin,3559,03 5432 9330,144.801658,-36.589881
Government,Stanhope Primary School,Primary,48 Midland Highway,Stanhope,3623,03 5857 2514,144.988016,-36.448102
Government,Hurstbridge Primary School,Primary,Main Road,Hurstbridge,3099,03 9718 2386,145.1980792,-37.63616612
Government,Coburg West Primary School,Primary,185-187 Reynard Street,Coburg,3058,03 9386 1286,144.947624,-37.74715
Government,Elwood Primary School,Primary,Scott Street,Elwood,3184,03 9531 2762,144.988364,-37.881505
Government,Mont Albert Primary School,Primary,Barloa Road,Mont Albert,3127,03 9890 1331,145.102727,-37.813079
Government,Dhurringile Primary School,Primary,605 Langham Road,Dhurringile,3610,03 5826 6222,145.239786,-36.543203
Government,Strathewen Primary School,Primary,5 School Ridge Road,Strathewen,3099,03 9714 8278,145.269894,-37.547468
Government,Don Valley Primary School,Primary,Old Dalry Road,Don Valley,3139,03 5967 3321,145.5874128,-37.76019989
Government,Reservoir Primary School,Primary,Duffy Street,Reservoir,3073,03 9460 5798,145.00677,-37.71142
Government,Yallourn North Primary School,Primary,2A Reserve Street,Yallourn North,3825,0429 595 748,146.362224,-38.163208
Government,Toorloo Arm Primary School,Primary,315 Lake Tyers Beach Road,Lake Tyers Beach,3909,03 5156 5517,148.05097,-37.852539
Government,Girgarre Primary School,Primary,528 Winter Road,Girgarre,3624,03 5854 6275,144.973758,-36.398106
Government,Yaapeet Primary School,Primary,4 Woods Street,Yaapeet,3424,03 5395 7260,142.057154,-35.768504
Government,Gladysdale Primary School,Primary,550 Little Yarra Road,Gladysdale,3797,03 5966 6202,145.6509863,-37.82025309
Government,Mildura West Primary School,Primary,219-227 Ninth Street,Mildura,3500,03 5023 1336,142.151865,-34.179621
Government,Moonee Ponds Primary School,Primary,87 Wilson Street,Moonee Ponds,3039,03 9375 2511,144.933694,-37.763411
Government,Kingsville Primary School,Primary,58 Bishop Street,Yarraville,3013,03 9314 5869,144.874657,-37.812595
Government,Kallista Primary School,Primary,72 Monbulk Road,Kallista,3791,03 9755 2633,145.3704501,-37.88529605
Government,Essendon North Primary School,Primary,112 Keilor Road,Essendon North,3041,03 9379 3979,144.903031,-37.741493
Government,Ascot Vale West Primary School,Primary,Langs Rd,Ascot Vale,3032,03 9370 8784,144.911125,-37.78068
Government,Hartwell Primary School,Primary,Milverton St,Camberwell,3124,03 9889 4012,145.084152,-37.847935
Government,Red Cliffs Primary School,Primary,Murray Avenue,Red Cliffs,3496,03 5024 1044,142.185312,-34.311566
Government,Wattle Glen Primary School,Primary,16-24 Reynolds Road,Wattle Glen,3096,03 9438 1259,145.1819987,-37.66811028
Government,Hampton Park Primary School,Primary,Somerville Road,Hampton Park,3976,03 9799 1440,145.252943,-38.030464
Government,Colac West Primary School,Primary,12 Ligar Street,Colac,3250,03 5231 2479,143.579749,-38.336417
Government,Ripponlea Primary School,Primary,25 Carrington Grove,St Kilda East,3183,03 9527 5728,145.005124,-37.874706
Government,Noojee Primary School,Primary,65 School Road,Noojee,3833,03 5628 9558,146.007862,-37.895136
Government,Montmorency Primary School,Primary,60a Rattray Road,Montmorency,3094,03 9434 5944,145.121599,-37.717652
Government,Moriac Primary School,Primary,785 Hendy Main Road,Moriac,3240,03 5266 1298,144.175572,-38.24138556
Government,Ringwood North Primary School,Primary,172 Oban Road,Ringwood North,3134,03 9876 3411,145.230739,-37.79313
Government,Red Cliffs East Primary School,Primary,Block 67a Nerrum Avenue,Red Cliffs,3496,03 5024 1147,142.214274,-34.305108
Government,Lloyd Street Primary School,Primary,Lloyd Street,Malvern East,3145,03 9573 4600,145.056108,-37.872416
Government,Bayswater North Primary School,Primary,Stuart Street,Bayswater North,3153,03 9729 1744,145.295621,-37.8288
Government,Westbreen Primary School,Primary,2-10 Pascoe Street,Pascoe Vale,3044,03 9306 9481,144.936217,-37.716056
Government,Point Cook Prep - Year 9 College,Pri/Sec,18 - 50 Ponsford Drive,Point Cook,3030,03 8348 7100,144.725689,-37.893593
Government,Footscray North Primary School,Primary,14 Rosamond Road,Footscray,3011,03 9317 9047,144.883372,-37.787746
Government,Airly Primary School,Primary,226 Airly Estate Road,Airly,3851,03 5149 8251,147.113897,-38.025712
Government,Camberwell South Primary School,Primary,Peate Avenue,Glen Iris,3146,03 9889 4295,145.062612,-37.847905
Government,Parkdale Primary School,Primary,305-311 Nepean Highway,Parkdale,3195,03 9580 1451,145.082916,-37.992693
Government,Hughesdale Primary School,Primary,Brine Street,Hughesdale,3166,03 9570 4808,145.077639,-37.905839
Government,Westgarth Primary School,Primary,45 Brooke St & 311 Clarke St,Northcote,3070,03 9481 5577,145.005561,-37.776471
Government,Auburn South Primary School,Primary,419 Tooronga Road,Hawthorn East,3123,03 9882 2140,145.044744,-37.83953
Government,Aspendale Primary School,Primary,23 Laura Street,Aspendale,3195,03 9580 3255,145.099756,-38.020273
Government,Eltham North Primary School,Primary,35-47 Wattletree Road,Eltham North,3095,03 9439 9639,145.1508655,-37.70011091
Government,Merrivale Primary School,Primary,158 Merrivale Drive,Warrnambool,3280,03 5562 7172,142.456146,-38.378018
Government,Dandenong West Primary School,Primary,32 Birdwood Avenue,Dandenong,3175,03 9792 2868,145.200416,-37.980741
Government,Yarra Road Primary School,Primary,222 - 228 Yarra Road,Croydon,3136,03 9723 4182,145.272227,-37.766401
Government,Aberfeldie Primary School,Primary,1 Doone Street,Essendon,3040,03 9337 8084,144.895552,-37.7566
Government,Manifold Heights Primary School,Primary,20-24 Strachan Avenue,Manifold Heights,3218,03 5229 9643,144.332835,-38.136151
Government,Nungurner Primary School,Primary,455 Nungurner Road,Nungurner,3909,03 5156 3232,147.888387,-37.865917
Government,Dingley Primary School,Primary,111-115 Centre Dandenong Road,Dingley Village,3172,03 9551 3555,145.131935,-37.982679
Government,Cardross Primary School,Primary,415 Dairtnunk Avenue,Cardross,3496,03 5024 1267,142.145041,-34.288009
Government,Albion Primary School,Primary,Adelaide Street,Albion,3020,03 9311 1325,144.81994,-37.777939
Government,Lemnos Primary School,Primary,Lemnos Road,Lemnos,3631,03 5829 9287,145.462459,-36.358053
Government,Tarwin Lower Primary School,Primary,School Road,Tarwin Lower,3956,03 5663 5263,145.86706,-38.702574
Government,Nepean Special School,Special,33 Klauer St,Seaford,3198,03 9786 9111,145.14233,-38.119433
Government,Brunswick South West Primary School,Primary,South Daly Street,Brunswick West,3055,03 9387 6886,144.943182,-37.77057
Government,Bell Primary School,Primary,78A Oakover Road,Preston,3072,03 9480 5622,144.990725,-37.747893
Government,Chatham Primary School,Primary,Weybridge Street,Surrey Hills,3127,03 9830 1933,145.091885,-37.817113
Government,Caulfield South Primary School,Primary,24 Bundeera Road,Caulfield South,3162,03 9578 3718,145.030446,-37.89525
Government,Ashburton Primary School,Primary,Fakenham Road,Ashburton,3147,03 9885 2559,145.083814,-37.86221
Government,Bentleigh West Primary School,Primary,23 Brewer Road,Bentleigh,3204,03 9557 1228,145.026767,-37.920585
Government,Seaspray Primary School,Primary,15 Prospect Road,Seaspray,3851,03 5146 4393,147.170623,-38.356489
Government,Anglesea Primary School,Primary,85 Camp Road,Anglesea,3230,03 5263 1231,144.191837,-38.39678
Government,Briar Hill Primary School,Primary,25 Gladstone Road,Briar Hill,3088,03 9435 1633,145.116219,-37.708307
Government,Zeerust Primary School,Primary,245 Zeerust Road,Zeerust,3634,03 5829 8282,145.405067,-36.277196
Government,Mckinnon Primary School,Primary,253 Tucker Road,Ormond,3204,03 9578 1851,145.052795,-37.908049
Government,Clayton South Primary School,Primary,539 Clayton Road,Clayton South,3169,03 9558 0599,145.11622,-37.94054
Government,Ivanhoe East Primary School,Primary,35 Warncliffe Road,Ivanhoe East,3079,03 9499 2171,145.059453,-37.774587
Government,Cobains Primary School,Primary,3 Crofts Road,Cobains,3851,03 5149 8274,147.132279,-38.074794
Government,Mildura South Primary School,Primary,593 Deakin Avenue,Mildura South,3501,03 5023 2148,142.126787,-34.213477
Government,Tate Street Primary School Geelong,Primary,Tate Street,Geelong East,3219,03 5221 2780,144.379195,-38.166053
Government,Brunswick North West Primary School,Primary,Culloden Street,Brunswick West,3055,03 9386 4624,144.943099,-37.756539
Government,Katandra West Primary School,Primary,17-27 Bankin Street,Katandra West,3634,03 5828 3350,145.560714,-36.225467
Government,Fleetwood Primary School,Primary,97 Fleetwood Drive,Narre Warren,3805,03 9705 2281,145.317037,-38.039356
Government,Sandringham East Primary School,Primary,9 Holloway Road,Sandringham,3191,03 9598 1704,145.022221,-37.956668
Government,Seaholme Primary School,Primary,Cnr Millers Rd & Civic Parade,Seaholme,3018,03 9398 2806,144.8403785,-37.86463903
Government,Somers Primary School,Primary,87 Camp Hill Road,Somers,3927,03 5983 5546,145.164606,-38.392117
Government,Travancore School,Special,50 Flemington Street,TRAVANCORE,3032,03 9345 6053,144.934867,-37.781903
Government,Upwey Primary School,Primary,15 Darling Avenue,Upwey,3158,03 9754 2369,145.3328027,-37.90286736
Government,Coburg North Primary School,Primary,180 O'Hea Street,Coburg,3058,03 9354 1660,144.951883,-37.736032
Government,Rosanna Primary School,Primary,Grandview Grove,Rosanna,3084,03 9457 2592,145.062899,-37.735395
Government,Wantirna South Primary School,Primary,16 Tyner Road,Wantirna South,3152,03 9801 1900,145.237339,-37.872529
Government,Strathmore Primary School,Primary,14-34 Lloyd Street,Strathmore,3041,03 9379 5693,144.917112,-37.735557
Government,Balwyn North Primary School,Primary,Buchanan Avenue,Balwyn North,3104,03 9859 4258,145.0764973,-37.79638413
Government,Solway Primary School,Primary,Winton Road,Ashburton,3147,03 9885 2421,145.07283,-37.873238
Government,Wangaratta West Primary School,Primary,47-49 Phillipson Street,Wangaratta,3677,03 5721 3491,146.304421,-36.35413
