Community Name,Community Type,Population density,Area (km sq),Child Protection Services,Community Health Services,SAAP/Homelessness,Disability Services,Mental Health Services,Health/Human services sites,Dental sites,General practice sites,Pharmacy Sites,Allied Health Sites,Complementary Health Sites,Child Care/Kindergarten Sites,Residential aged care facilities,Licensed aged care places,Primary schools,Secondary school,P-12 schools,Other schools,Nearest Health Service,Distance to Nearest Health Service,Born Overseas,Speakes language other than English at home,Main cultural group 1 (name),Main cultural group 1 (percentage),Main cultural group 2 (name),Main cultural group 2 (percentage),Main cultural group 3 (name),Main cultural group 3 (percentage),Main cultural group 4 (name),Main cultural group 4 (percentage),Other cultural group (percentage)
Skenes Creek,Town,254.6432357,0.55764293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otway Health and Community Services,5.464390237,18.1,4.7,Anglo Saxon and Celtic,81.8,German,5.1,Italian,4.5,Franco-Belgian,2.3,6.2
Skipton,Town,107.268414,4.922231813,0,0,0,0,0,2,0,1,0,0,0,1,4,20,1,0,0,0,Beaufort & Skipton Health Service (Skipton),0.438328579,10.7,3.8,Anglo Saxon and Celtic,89.4,German,2.3,Nordic,2.3,Franco-Belgian,1.6,4.4
Skye,Suburb,518.8323639,19.025413,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,Cranbourne Integrated Care Centre,6.106746288,21.0,11.2,Anglo Saxon and Celtic,73.5,Italian,4.2,German,3.4,Hispanic,2.7,16.2
Smiths Beach,Town,87.40038526,2.860399291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bass Coast Regional Health,35.94453815,18.1,7.5,Anglo Saxon and Celtic,80.1,German,6.8,Italian,4.0,Greek,2.0,7.2
Smythesdale,Town,179.0664946,1.401713931,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Ballarat Hospital,19.75462495,7.6,0.0,Anglo Saxon and Celtic,84.9,German,9.4,Dutch,3.8,Nordic,1.4,0.5
Snake Valley,Town,68.97616885,5.132207339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beaufort & Skipton Health Service (Skipton),23.51853845,6.7,0.0,Anglo Saxon and Celtic,91.7,German,8.3,Hispanic,0.0,Franco-Belgian,0.0,0.0
Soldiers Hill,Suburb,2052.040659,1.499970279,0,0,0,0,2,4,1,0,0,0,1,1,0,0,2,0,0,0,Ballarat Hospital,1.81869335,7.8,3.5,Anglo Saxon and Celtic,84.6,German,4.4,Dutch,1.7,Italian,1.7,7.7
Somers,Suburb,239.9050063,6.039890632,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,Frankston Hospital,28.91788475,15.0,3.0,Anglo Saxon and Celtic,84.7,German,5.5,Dutch,1.6,Franco-Belgian,1.1,7.1
Somerville,Suburb,861.6322306,12.40436421,0,0,0,1,0,16,1,4,1,6,2,4,1,100,4,1,0,0,Frankston Hospital,10.17937218,14.3,2.5,Anglo Saxon and Celtic,84.1,German,4.0,Italian,2.8,Dutch,2.4,6.8
Sorrento,Suburb,223.1668339,7.008209833,0,0,0,0,0,7,0,1,1,1,0,1,1,34,2,0,0,0,Rosebud Hospital,13.88562068,13.2,2.8,Anglo Saxon and Celtic,84.2,German,3.6,Italian,3.5,Franco-Belgian,1.5,7.2
South Geelong,Suburb,367.8999806,2.432726412,0,0,0,4,0,5,1,0,0,1,0,0,0,0,0,0,0,0,The Geelong Hospital,3.805377856,12.5,6.6,Anglo Saxon and Celtic,77.6,German,5.9,Italian,3.7,Greek,2.2,10.7
South Kingsville,Suburb,2952.051237,0.63752281,0,0,0,1,0,5,0,1,1,0,0,1,0,0,0,0,0,0,Williamstown Hospital,3.819419953,26.4,25.3,Anglo Saxon and Celtic,58.1,Italian,7.2,Central European,6.2,Balkan,5.2,23.4
South Melbourne,Suburb,4014.403656,2.506225298,11,10,4,9,7,52,5,8,4,19,21,7,2,104,1,0,0,1,The Alfred,3.453456829,28.6,20.8,Anglo Saxon and Celtic,60.7,Greek,5.9,East Asian,5.0,Italian,3.5,24.8
South Morang,Suburb,1675.044595,12.318478,0,0,0,3,0,19,0,3,1,4,0,2,4,357,1,0,2,0,The Northern Hospital,8.909561407,19.3,24.1,Anglo Saxon and Celtic,51.0,Italian,17.1,Greek,4.4,Balkan,4.1,23.4
South Yarra,Suburb,4076.401928,5.037530734,0,0,1,0,2,77,10,8,5,23,10,7,0,0,3,2,2,1,The Alfred,1.353021243,28.5,18.3,Anglo Saxon and Celtic,63.5,East Asian,5.3,German,4.3,South Asian,3.5,23.3
Southbank,Suburb,7642.871729,1.722258395,0,0,5,1,1,15,0,3,1,2,1,1,0,0,0,1,0,0,St Vincent's Hospital,3.135061781,44.1,33.3,Anglo Saxon and Celtic,46.6,East Asian,18.5,South East Asian,10.3,South Asian,4.2,20.4
Spotswood,Suburb,683.910795,3.577952005,0,0,0,1,0,7,0,1,0,6,3,2,0,0,2,0,0,0,Williamstown Hospital,3.284331503,24.8,22.4,Anglo Saxon and Celtic,58.6,Italian,9.7,Balkan,4.9,Greek,4.6,22.2
Spring Gully,Suburb,800.9504298,3.894123636,0,0,0,0,0,6,0,1,0,0,1,1,0,0,1,0,0,0,The Bendigo Hospital,6.216739201,6.6,1.9,Anglo Saxon and Celtic,88.6,German,3.2,Italian,1.5,Nordic,1.1,5.5
Springhurst,Town,121.9394113,1.836977869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Northeast Health Wangaratta,24.04631649,9.5,3.2,Anglo Saxon and Celtic,80.6,Nordic,9.7,Dutch,3.2,German,3.2,3.2
Springvale,Suburb,1733.485774,11.19074658,1,0,0,2,0,73,7,25,7,13,1,9,2,133,4,1,1,0,Monash Medical Centre (Clayton),5.54631796,57.4,66.1,South East Asian,27.8,Anglo Saxon and Celtic,23.2,East Asian,9.8,Italian,6.6,32.6
Springvale South,Suburb,2808.414589,4.563428794,0,0,0,1,0,18,2,3,1,0,0,7,2,114,2,1,0,0,Kingston Centre,7.231655654,51.5,62.1,Anglo Saxon and Celtic,30.8,South East Asian,26.2,East Asian,9.7,Italian,5.0,28.3
St Albans,Suburb,2743.339002,12.99985163,2,7,2,10,4,92,5,25,10,11,1,10,4,130,9,3,0,1,Sunshine Hospital,2.894642777,51.1,62.4,Anglo Saxon and Celtic,18.0,Italian,15.0,South East Asian,15.0,Balkan,11.9,40.1
St Albans Park,Suburb,2562.910742,2.08786046,0,0,0,1,0,4,0,0,0,1,0,0,2,127,0,0,0,0,The Geelong Hospital,4.615137364,11.4,4.6,Anglo Saxon and Celtic,81.9,Italian,4.6,German,3.9,Central European,2.0,7.6
St Andrews,Town,145.1736466,2.782874231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,The Northern Hospital,28.94714972,13.3,1.5,Anglo Saxon and Celtic,80.2,German,5.9,Dutch,4.4,Italian,4.4,5.1
St Andrews Beach,Suburb,307.9411643,2.711556936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rosebud Hospital,11.25903529,11.1,4.7,Anglo Saxon and Celtic,80.8,Italian,3.7,German,3.6,Greek,2.4,9.5
St Arnaud,Town,265.891186,8.800592584,0,2,0,1,0,12,1,1,0,6,0,1,3,57,2,1,0,0,East Wimmera Health Service (St Arnaud),1.488223626,4.1,1.6,Anglo Saxon and Celtic,89.7,German,3.6,Dutch,0.9,Italian,0.8,5.0
St Kilda,Suburb,6078.316362,3.020079724,1,2,27,6,5,78,5,18,4,17,4,6,1,83,2,0,1,0,The Alfred,2.336249872,25.9,13.1,Anglo Saxon and Celtic,63.7,German,5.0,Italian,4.0,South Asian,3.2,24.1
St Kilda East,Suburb,5740.454895,2.308527851,0,0,3,0,4,29,2,5,0,10,7,5,0,0,3,1,3,0,Caulfield General Medical Centre,2.973793115,27.4,20.6,Anglo Saxon and Celtic,51.0,German,8.7,Jewish/Armenian,8.0,Central European,4.3,28.0
St Kilda West,Suburb,6349.699332,0.531678718,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,The Alfred,2.979263947,21.8,9.2,Anglo Saxon and Celtic,70.3,German,4.5,South Asian,4.3,Greek,3.5,17.3
St Leonards,Town,224.1619699,8.819515643,0,0,0,0,0,4,0,1,1,1,0,0,0,0,1,0,0,0,The Geelong Hospital,31.31827048,18.1,10.7,Anglo Saxon and Celtic,73.6,Italian,9.2,Greek,4.5,German,3.5,9.2
Stanhope,Town,221.2868203,2.535171319,0,0,0,0,0,5,0,0,1,5,0,1,0,0,1,0,0,0,Goulburn Valley Health (Waranga),15.98315669,3.7,0.6,Anglo Saxon and Celtic,90.9,German,3.2,East Asian,1.6,Italian,1.2,3.0
Stawell,Town,316.5709257,18.9088748,3,12,2,8,1,31,1,3,3,10,0,7,3,116,4,1,0,1,Stawell Regional Health,1.26825266,4.9,1.7,Anglo Saxon and Celtic,89.1,German,4.2,Dutch,1.3,Franco-Belgian,1.1,4.3
Stratford,Town,468.649592,3.552761015,0,0,0,0,0,5,0,0,1,0,0,1,0,0,2,0,0,0,Central Gippsland Health Service (Maffra),12.03783575,7.5,1.4,Anglo Saxon and Celtic,87.3,German,3.1,Dutch,2.0,Nordic,1.9,5.7
Strathdale,Suburb,1224.06056,4.996484814,0,0,0,0,0,9,0,2,0,1,0,1,0,0,0,0,1,0,The Bendigo Hospital,4.815696693,6.7,3.0,Anglo Saxon and Celtic,87.1,German,3.7,Italian,2.1,Dutch,1.2,5.9
Strathfieldsaye,Suburb,555.5175538,7.229294507,0,0,0,0,0,5,0,1,1,0,0,1,0,0,2,0,0,0,The Bendigo Hospital,10.77795077,5.4,1.6,Anglo Saxon and Celtic,87.6,German,3.1,Italian,2.5,Dutch,1.7,5.0
Strathmerton,Town,232.2303699,2.209013404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Cobram District Hospital,16.00346531,7.0,1.4,Anglo Saxon and Celtic,84.9,German,7.2,Nordic,2.8,South Asian,2.4,2.8
Strathmore,Suburb,1269.124026,6.753477061,0,0,0,0,0,15,2,1,1,5,1,5,0,0,3,1,0,0,Broadmeadows Health Service,7.140779563,15.0,14.1,Anglo Saxon and Celtic,66.2,Italian,12.2,Greek,3.9,South Asian,3.4,14.3
